bayna/1a/01/0	(определённый артикль).	اَلْـ...
bayna/1b/13/a	вылетает (покидает) самолёт	تُغَادِرُ الطَّائِرَةُ
bayna/1b/13/b	явись! (прибудь)	اُحْضُرْ
bayna/1b/13/d	потерял (я)	فَقَدْتُ
bayna/1b/13/e	следующий	قَادِمٌ
bayna/1b/13/f	(он) открывает	يَفْتَحُ
bayna/1b/13/g	чемодан, сумка	حَقِيبَةٌ
bayna/1b/13/h	восток	شَرْقٌ
bayna/1b/13/i	север	شَمَالٌ
bayna/1b/13/j	запад	غَرْبٌ
bayna/1b/13/k	юг	جَنُوبٌ
bayna/1b/14/1	место Ибрахима	مَقَامُ إِبْرَاهِيمَ
bayna/1b/14/2	(одежда паломника)	ثَوْبُ الْإِحْرَامِ
bayna/1b/14/3	восход солнца	شُرُوقُ الشَّمْسِ
bayna/1b/14/4	жертвенное животное (хадж), подарок	هَدْيٌ
bayna/1b/14/4a	(мы) забиваем (о жертве)	نَذْبَحُ
bayna/1b/14/5	(место, где паломник вступает в состояние ихрама)	مِيقَاتٌ
bayna/1b/14/6	голова	رَأْسٌ
bayna/1b/14/7	закат [заход солнца]	غُرُوبُ الشَّمْسِ
bayna/1b/14/8	(он) обходит	يَطُوفُ
bayna/1b/14/9	(он) постится	يَصُومُ
bayna/1b/14/0	(он) бреет, постригает	يَحْلِقُ
bayna/1b/14/01	(я) совершаю малое паломничество (Умру)	أَعْتَمِرُ
bayna/1b/14/02	снял (я) (его)	خَلَعْتُهُ
bayna/1b/14/03	чувствовал (он)	شَعَرَ
bayna/1b/14/04	круг, дистанция, такт / +мн	شَوْطٌ / أَشْوَاطٌ
bayna/1b/14/a	бросание камешков (угольков)	رَمْيُ الْجَمَراتِ
bayna/1b/14/b	головы	رُؤُوسٌ
bayna/1b/14/c	(он) бежит, устремляется	يَسْعِي
bayna/1b/14/d	стояние на Арафате.	اَلْوُقُوفُ بِعَرَفَةَ
bayna/1b/14/e	достиг; добрался (я)	وَصَلْتُ
bayna/1b/14/f	совмещённо, объединённо	جَمْعًا
bayna/1b/14/g	(он) бросает	يَرْمِي
bayna/1b/14/h	(он) надевает	يَلْبَسُ
bayna/1b/14/i	(он) откликается	يُلَبِّي
bayna/1b/14/j	зенит солнца	زَوَالُ الشَّمْسِ
bayna/1b/14/k	прощание, проводы	وَدَاعٌ
bayna/1b/14/l	принимаемая, одобряемая	مَقْبُولَةٌ
bayna/1b/15/1	нос	أَنْفٌ
bayna/1b/15/2	гортань, горло	حَنْجَرَةٌ
bayna/1b/15/3	ухо	أُذُنٌ
bayna/1b/15/4	простуда; насморк	زُكَامٌ
bayna/1b/15/5	давление	ضَغْطٌ
bayna/1b/15/6	стоматолог [врач зубов]	طَبِيبُ الْأَسْنَانِ
bayna/1b/15/7	(он) осматривает, исследует	يَفْحَصُ
bayna/1b/15/8	(он) встречается	يُقَابِلُ
bayna/1b/15/9	диагноз [отчёт медицинский]	تَقْرِيرٌ طِبِّيٌّ
bayna/1b/15/0	(он) советует	يَنْصَحُ
bayna/1b/15/a	избыток веса	زِيَادَةُ الْوَزْنِ
bayna/1b/15/b	зелень, овощи	خَضْرَاوَاتٌ
bayna/1b/15/c	лекарство	دَوَاءٌ
bayna/1b/15/d	грудь; лёгкие	صَدْرٌ
bayna/1b/15/e	зубы	أَسْنَانٌ
bayna/1b/15/f	почка	كُلْيَةٌ
bayna/1b/15/g	головная боль, мигрень	صُدَاعٌ
bayna/1b/15/h	заключение, результат	نَتِيجَةٌ
bayna/1b/15/i	давление повышается.	اَلضَّغْطُ يَرْتَفِعُ
bayna/1b/15/j	скорая помощь	إِسْعَافٌ
bayna/1b/15/k	постигло (меня)	أُصِبْتُ
bayna/1b/15/l	здоровый	سَلِيمٌ
bayna/1b/15/m	отдых	رَاحَةٌ
bayna/1b/15/n	сладости	سُكَّرِيَّاتٌ
bayna/1b/15/o	сердце	قَلْبٌ
bayna/1b/15/p	боль	أَلَمٌ
bayna/1b/16/1	(он) помогает	يُسَاعِدُ
bayna/1b/16/2	(он) приближается	يَقْتَرِبُ
bayna/1b/16/3	милостыня разговенья	زَكَاةُ الْفِطْرِ
bayna/1b/16/4	(мера сыпучих тел) (~2,5 л)	صَاعٌ
bayna/1b/16/5	библиотеки	مَكْتَبَاتٌ
bayna/1b/16/6	жертвенное животное (общ.)	أُضْحِيَةٌ
bayna/1b/16/7	река Нил	نَهْرُ النِّيلْ
bayna/1b/16/8	столица	عَاصِمَةٌ
bayna/1b/16/9	(он) совершает большое паломничество	يَحُجُّ
bayna/1b/16/0	страна	بَلَدٌ
bayna/1b/16/a	студенты	طُلَّابٌ
bayna/1b/16/b	(он) путешествует	يُسَافِرُ
bayna/1b/16/c	турист	جَوَّالٌ
bayna/1b/16/d	бедные, бедняки	فُقَرَاءُ
bayna/1b/16/e	персона; лицо (личность)	شَخْصٌ
bayna/1b/16/f	пашня, поле [место выращивания]	مَزْرَعَةٌ
bayna/1b/16/g	музеи [места экспонатов]	مَتَاحِفٌ
bayna/1b/16/h	горы	جِبَالٌ
bayna/1b/16/i	группа; команда; партия	فَرِيقٌ
bayna/1b/16/j	(он) совершает малое паломничество	يَعْتَمِرُ
bayna/1b/16/l	деятельность; активность; живость; бодрость / +мн.	نَشَاطٌ / أَنْشِطَةٌ
bayna/1b/16/n	польза	فَائِدَةٌ
bayna/1b/16/o	пользы	فَوَائِدٌ
bayna/1b/16/p	душа; сам	نَفْسٌ
bayna/1b/16/q	души	أَنْفُسٌ
bayna/1b/16/r	степень	قَدْرٌ
bayna/1b/16/s	степени	أَقْدَرٌ
bayna/1b/16/t	тело, корпус (внешн.)	بَدَنٌ
bayna/1b/16/u	тела, корпусы (внешн.)	أَبْدَانٌ
bayna/1b/16/v	нрав	خُلْقٌ
bayna/1b/16/w	нравы	أَخْلَاقٌ
bayna/1b/16/x	фактор; причина	عَامِلٌ
bayna/1b/16/y	факторы; причины	عَوَامِلٌ
bayna/1b/16/z	вещество; составная часть; происхождение	عُنْصُرٌ
bayna/1b/16/11	вещества, составные части, происхождения	عَنَاصِرٌ
bayna/1b/16/12	шутка	مُزَاحٌ
bayna/1b/16/13	веселье, развлечение, игра, забава, потеха	لَهْوٌ
bayna/1b/16/14	играл (он)	لَعِبَ
bayna/1b/16/15	подшучивание; заигрывание	مُدَاعَبَةٌ
bayna/1b/16/16	слово; речь	قَوْلٌ
bayna/1b/16/17	старание; усердие	إِجْتِهَادٌ
bayna/1b/16/21	(он) помогает	يُسَاعِدُ
bayna/1b/16/22	нашёл (он)	وَجَدَ
bayna/1b/16/24	осмотрел (он)	فَحَصَ
bayna/1b/16/25	кроме	غَيْرٌ
bayna/1b/16/26	советовал (он)	نَصَحَ
bayna/1b/16/27	охота; ловля	صَيْدٌ
bayna/1b/16/28	чтение	قِرَاءَةٌ
bayna/1b/16/29	езда	رُكُوبٌ
bayna/1b/16/30	убил (он)	قَتَلَ
bayna/1b/16/31	практикующий	مُمَارَسٌ
bayna/1b/16/32	спорт; тренировка	رِيَاضَةٌ
bayna/1b/16/33	конница; лошади	خَيْلٌ
bayna/1b/16/34	писал (он)	كَتَبَ
bayna/1b/16/35	рыба	سَمَكٌ
bayna/1b/16/36	время	وَقْتٌ
bayna/1b/16/37	мнение; видение	رَأْيٌ
bayna/1b/16/38	мнения; вИдения	آرَاءٌ
bayna/1b/16/39	дело; обстоятельство	أَمْرٌ
bayna/1b/16/40	дела; обстоятельства	أُمُرٌ
bayna/1b/16/41	воздух	هَوَاءٌ
bayna/1b/16/42	берег	شَاطِئٌ
bayna/1b/16/43	шар; мяч; сфера	كُرَةٌ
bayna/1b/16/44	программы	بَرَامِجُ
bayna/1b/16/47	море	بَحْرٌ
bayna/1b/16/48	птицы	طُيُورٌ
bayna/2a/01/1	забота; уход	عِنَايَةٌ
bayna/2a/01/2	забота о здоровье.	العِنَايَةُ بِالصِّحَّةِ
bayna/2a/01/3	мёд	عَسَلٌ
bayna/2a/01/4	вылечивать; исцелять	شَفَى / يَشْفِي
bayna/2a/01/5	выздоровление; излечение; исцеление	شِفَاءٌ
bayna/2a/01/6	боль / +мн.	أَلَمٌ / آلَامٌ
bayna/2a/01/7	забота, уход	عِنَايَةٌ
bayna/2a/01/8	забота о здоровье.	العِنَايَةُ بِالصِّحَّةِ
bayna/2a/01/9	мёд	عَسَلٌ
bayna/2a/01/0	вылечивать; исцелять	شَفَى / يَشْفِي
bayna/2a/01/a	исцеление	شِفَاءٌ
bayna/2a/01/b	-	أَلَمٌ / آلاَمٌ
bayna/2a/01/c	желудок	مَعِدَةٌ
bayna/2a/01/d	живот	بَطْنٌ
bayna/2a/01/e	сильный, тяжкий, невыносимый / +мн.	شَدِيدٌ / شِدَادٌ
bayna/2a/01/f	принимал он / он принимает (лекарство, пищу) VI	تَنَاوَلَ / يَتَنَاوَلُ
bayna/2a/01/g	приём	تَنَاوُلٌ
bayna/2a/01/h	лекарство / +мн.	دَوَاءٌ / أَدْوِيَةٌ
bayna/2a/01/i	рассказ сподвижника	قِصَّةُ الصَّحَابِيِّ
bayna/2a/01/j	лечить, врачевать; реставрировать III	عَالَجَ / يُعَالِجُ
bayna/2a/01/k	лечение; исправление; реставрация	عِلَاجٌ
bayna/2a/01/l	когда …; в то время, как …	عِنْدَ مَا …
bayna/2a/01/m	жаловаться VIII	اِشْتَكَى / يَشْتَكِي / اِشْتَكَاءٌ
bayna/2a/01/n	поить; орошать; поливать	سَقَى / يَسْقِي
bayna/2a/01/o	уже	لَقَدٌ
bayna/2a/01/p	велеть; приказывать	أَمَرَ / يَأْمُرُ
bayna/2a/01/q	приказ; распоряжение / +мн.	أَمْرٌ / أَوَامِرُ
bayna/2a/01/r	раз / разы	مَرَّةٌ / مَرَّاتٌ
bayna/2a/01/s	так же как; подобно	مِثْلَ
bayna/2a/01/t	место; помещение / +мн.	مَحَلٌّ / مَحَلَّاتٌ
bayna/2a/01/u	торг; продажа	بَيْعٌ
bayna/2a/01/vw	центральный	مَرْكَزِيٌّ
bayna/2a/01/x	случаться, происходить	حَدَثَ / يَحْدُثُ
bayna/2a/01/y	подниматься; возвышаться	اِرْتَفَعَ / يَرْتَفِعُ
bayna/2a/01/z	верить, быть убеждённым VIII	اِعْتَقَدَ / يَعْتَقِدُ
bayna/2a/01/11	жиры (мн.ч)	دُهُونٌ
bayna/2a/01/12	занятый	مَشْغُولٌ
bayna/2a/01/13	всегда, постоянно	دَائِمًا
bayna/2a/01/14	положение, состояние	حَالٌ
bayna/2a/01/15	серьёзный, опасный	خَطِيرٌ
bayna/2a/01/16	быть достаточным; хватать	كَفَى / يَكْفِي
bayna/2a/01/17	необходимо	لَابُدَّ
bayna/2a/01/18	следовать, держаться, придерживаться (чего-л.) VIII	اِتَّبَعَ / يَتَّبِعُ
bayna/2a/01/19	диета	حِمْيَةٌ
bayna/2a/01/20	нормальный	عَادِيٌّ
bayna/2a/01/21	молодец (ты)	أَحْسَنْتَ
bayna/2a/01/22	да воздаст тебе Аллах благом!	جَزَاكَ اللهُ خَيْرًا
bayna/2a/01/23	прошлое (время); острый	مَاضٌ
bayna/2a/01/24	настоящее (время); присутствующий; готовый	حَاضِرٌ
bayna/2a/01/25	признак; марка; метка	عَلَامَةٌ
bayna/2a/01/26	жир; сало; смазка (техн.)	شَحْمٌ
bayna/2a/01/27	удаляться, уходить, покидать VIII	اِبْتَعَدَ / يَبْتَعِدُ
bayna/2a/01/28	предостерегать II	حَذَّرَ / يُحَذِّرُ
bayna/2a/01/29	развиваться, прогрессировать V	تَقَدَّمَ / يَتَقَدَّمُ
bayna/2a/01/30	брак (союз)	زَوَاجٌ
bayna/2a/01/31	предпочитать II	فَضَّلَ / يُفَضِّلُ
bayna/2a/01/32	женщина	مَرْأَةٌ
bayna/2a/01/33	выявляться, обнаруживаться II	ظَهَرَ / يَظْهَرُ
bayna/2a/01/34	болезни сердца	أَمْرَاضُ الْقَلْبِ
bayna/2a/01/35	давление крови	ضَغْطُ الدَّمِ
bayna/2a/01/36	полнота; тучность; добротность [телесность]	بَدَانَةٌ
bayna/2a/01/37	человек, персона, личность	شَخْصٌ
bayna/2a/01/38	становиться, делаться IV	أَصْبَحَ / يُصْبِحُ
bayna/2a/01/39	целый (цельный); полный	كَامِلٌ
bayna/2a/01/40	жир (продукты); сало	دَسَمٌ
bayna/2a/01/41	тёмный; коричневый; смуглый	أَسْمَرٌ
bayna/2a/01/42	запрещать; оканчивать	نَهَى / يَنْهِي
bayna/2a/01/43	расточительство, чрезмерность	إِسْرَافٌ
bayna/2a/01/44	вредить; наносить ущерб II	ضَرَّ / يَضُرُّ
bayna/2a/01/45	сосуд (анатом.)	وِعَاءٌ
bayna/2a/01/46	зло (злоба); вред; плохой	شَرٌّ
bayna/2a/01/47	хуже, чем...	شَرٌّ مِنْ...
bayna/2a/01/48	человеческий; гуманный	آدَمِىٌّ
bayna/2a/01/49	наполнять	مَلَأَ / يَمْلَأُ
bayna/2a/01/50	достаточность; счёт; мнение	حَسْبٌ
bayna/2a/01/51	позвоночник; твёрдый; прочный; сталь; хребет	صُلْبٌ
bayna/2a/01/52	если будет необходимо; если понадобится [если будет без изменений]	إِنْ كَانَ لَا مَحَالَةَ
bayna/2a/01/53	треть	ثُلْثٌ
bayna/2a/01/54	для (самого) себя	لِنَفْسٍ
bayna/2a/02/0	облегчать; давать покой; возвращаться домой II	رَوَّحَ / يُرَوِّحُ
bayna/2a/02/1	отдых души	تَرْوِيحُ النَّفْسِ
bayna/2a/02/2	я потерял сознание (обморок)	أُغْمِيَ عَلَيَّ
bayna/2a/02/3	очнуться; прийти в себя IV	أَفَاقَ / يُفِيقُ
bayna/2a/02/4	удивительный; чудесный; странный	عَجِيبٌ
bayna/2a/02/5	менять; изменять; делать (что л.) другим II	غَيَّرَ / يُغَيِّرُ
bayna/2a/02/6	способ; метод; стиль; манера / +мн.	أُسْلُوبٌ / أَسَالِيبُ
bayna/2a/02/7	образ жизни	أُسْلُوبُ الحَيَاةِ
bayna/2a/02/8	иметь что-либо в виду; направляться; отправляться	قَصَدَ / يَقْصِدُ
bayna/2a/02/9	какое удивительное дело!	يَا لَهُ مِنْ أَمْرٍ عَجِيبٍ
bayna/2a/02/a	говорить правду; быть правдивым, искренним	صَدَقَ / يَصْدُقُ
bayna/2a/02/b	деятельность, активность; усердие / +мн.	نَشَاطٌ / أَنْشِطَةٌ
bayna/2a/02/c	тяжелый труд, напряжение, усталость	عَنَاءٌ
bayna/2a/02/d	работающий; трудящийся, рабочий, служащий; агент / +мн.	عَامِلٌ / عُمَّالٌ
bayna/2a/02/e	нуждаться; ощущать потребность VIII	اِحْتَاجَ / يَحْتَاجُ
bayna/2a/02/f	организм (тело); вещество	جِسْمٌ
bayna/2a/02/g	отдых полезен для ума и тела	التَّرْوِيحُ مُفِيدٌ لِلعَقْلِ وَالجِسْمِ
bayna/2a/02/h	цель / цели	هَدَفٌ / أَهْدَافٌ
bayna/2a/02/i	убийство времени	قَتْلُ الوَقْتِ
bayna/2a/02/j	времяпрепровождение	قَضَاءُ الوَقْتِ
bayna/2a/02/k	компьютерные игры	عَابُ الحَاسُوبِ
bayna/2a/02/l	лагерь	مُخَيَّمٌ
bayna/2a/02/n	охотиться, рыбачить	صَادَ / يَصِيدُ
bayna/2a/02/o	ловля рыбы; рыбалка	صَيْدُ السَّمَكِ
bayna/2a/02/p	наслаждение / наслаждения	مُتْعَةٌ / مُتَعٌ
